x1,y1,c1,x2,y2,c2,x3,y3,c3,class
1.8497305032518905,0.9486057779931771,g,1.7848666880971586,0.08355067683068362,r,1.1840544537714706,0.4237474082349614,w,a
1.0601760202360129,0.13030294124748054,w,0.3839943150785854,0.444573573873013,g,0.4420783463144382,0.45503295884771644,g,b
0.04953393497913705,0.08577408627625116,r,1.4200164004898201,0.4212483616141941,w,1.025267848784712,0.7342090787834955,g,a
0.7179927195723994,0.05755452964921848,w,1.5662047123210083,0.5891234827720049,r,1.3158254201997908,0.620991455138067,w,b
1.9414704551579143,0.36279251847810845,w,1.519573224487062,0.3686838147682068,w,1.1440935623835617,0.660532109250318,g,a
0.628782221272373,0.08573612432387134,g,0.9481328454260787,0.7179140037527991,w,1.1812193958683403,0.44745155927333435,w,b
1.284756931119931,0.18202921598408917,r,0.35707990130166234,0.32341234887666004,r,1.6317469853172828,0.19560785280390003,r,a
0.22860241058956277,0.0986041979949358,g,0.07786633920684616,0.27556446150015235,g,1.1456437897768756,0.8206631808725244,w,b
0.6616096959865976,0.3696539320060992,w,0.5769686481677923,0.30478743385180296,r,1.5551649995852743,0.5489934699110331,w,a
0.5168370477785655,0.10712723150590253,g,1.5676181334166799,0.7071434542170243,r,1.6571306510718797,0.238026397885845,r,b
1.0909580460555863,0.918743176350847,g,1.1853914722852121,0.9454664467501246,g,0.33451951219608467,0.9750064688457487,g,a
0.11183961675839282,0.41622332031564313,g,0.04672560338034715,0.8095632659318523,g,1.3744107188692083,0.973735647068935,w,b
1.6099274715862564,0.9488281164830427,g,1.07719224608897,0.9882175657531495,g,1.4980287267687118,0.3461425529119997,w,a
1.9487823067341417,0.37699915834216136,r,0.3866277789621566,0.07587707239625474,g,0.931915604297433,0.1966449078541198,w,b
1.8671562591043973,0.950453685936658,g,0.4319022162505086,0.10350345489636059,r,1.057939971230971,0.16967994489229854,r,a
1.0872966730294995,0.8128427582877767,w,0.5061247065664993,0.421751604712983,g,1.8017400206890555,0.4446925279641446,r,b
0.6855524429171154,0.8923288689140904,g,1.6275118912024256,0.8951816604808429,g,1.375488680757267,0.412622206431442,w,a
1.3860458874793862,0.8298196188927971,w,1.2790242991707532,0.23842417855410525,w,0.5905063513682527,0.40961641295891305,g,b
1.5433313229746664,0.5570906297102496,w,1.0998749889659292,0.8265409341816413,g,0.21689254083196685,0.6312385435343704,w,a
0.6650046104927785,0.5593552122171377,g,1.6706989322670596,0.24835222337637908,r,1.9030360677930787,0.07857539756506449,r,b
